_r ( arcsec ),_RAJ2000 ( "h:m:s" ),_DEJ2000 ( "d:m:s" ),RAJ2000 ( deg ),DEJ2000 ( deg ),2MASS,Jmag ( mag ),e_Jmag ( mag ),Hmag ( mag ),e_Hmag ( mag ),Kmag ( mag ),e_Kmag ( mag ),Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
104.857,17 53 42.50544,-34 47 42.7884,268.427106,-34.795219,17534250-3447427,13.727,0.076,13.006,0.104,12.801,0.077,AAA,222,111,ccc,0,0
105.122,17 53 47.09016,-34 49 09.4440,268.446209,-34.81929,17534709-3449094,13.795,0.033,13.055,0.035,12.813,0.024,AAA,222,111,000,0,0
105.14,17 53 42.88824,-34 47 03.3072,268.428701,-34.784252,17534288-3447033,14.443,0.047,13.607,0.045,13.467,0.042,BBB,222,111,c0c,0,0
105.161,17 53 46.04400,-34 46 10.3800,268.44185,-34.76955,17534604-3446103,14.784,0.057,14.052,0.055,13.827,0.061,BCC,222,111,000,0,0
105.38,17 53 51.76944,-34 49 20.9532,268.465706,-34.822487,17535176-3449209,14.055,0.105,13.322,0.114,13.026,0.08,ABA,222,222,ccc,0,0
105.419,17 53 53.67144,-34 45 55.8504,268.473631,-34.765514,17535367-3445558,14.505,0.07,13.935,0.065,13.634,0.073,BCB,222,111,0pp,0,0
105.424,17 53 55.33872,-34 49 06.8772,268.480578,-34.818577,17535533-3449068,14.971,0.058,15.146,,14.922,,CUU,200,100,c00,0,0
105.495,17 53 57.60360,-34 46 28.8372,268.490015,-34.774677,17535760-3446288,14.887,0.05,14.252,0.029,14.221,0.071,CDD,222,111,000,0,0
105.539,17 53 59.55720,-34 47 41.2368,268.498155,-34.794788,17535955-3447412,14.428,0.105,13.676,0.274,11.781,,BDU,220,110,cc0,0,0
105.619,17 53 56.72928,-34 48 54.5868,268.486372,-34.815163,17535672-3448545,13.315,0.077,12.437,0.09,12.163,0.06,EAA,222,222,ccc,0,0
106.097,17 53 50.18976,-34 49 21.6264,268.459124,-34.822674,17535018-3449216,13.642,0.102,12.87,0.182,12.676,0.089,ACA,222,111,ccc,0,0
106.176,17 53 54.26952,-34 45 57.7620,268.476123,-34.766045,17535426-3445577,14.681,0.081,13.973,0.063,13.774,0.07,BCB,222,111,cc0,0,0
106.214,17 53 52.38168,-34 49 20.8416,268.468257,-34.822456,17535238-3449208,14.281,0.081,13.467,0.102,13.251,0.071,ABA,222,111,ss0,0,0
106.284,17 53 44.88144,-34 48 50.9472,268.437006,-34.814152,17534488-3448509,13.647,0.124,12.912,0.159,12.73,0.081,BCA,222,111,ccc,0,0
106.309,17 53 59.62968,-34 47 34.8648,268.498457,-34.793018,17535962-3447348,9.705,0.024,8.607,0.044,8.153,0.024,AAA,211,111,000,0,0
106.38,17 53 52.98816,-34 49 19.5240,268.470784,-34.82209,17535298-3449195,12.705,,12.22,0.093,11.648,,UAU,626,030,0c0,0,0
