Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
567,283.758976,-30.365723,283.758977,-30.365622,164,903,163.996,903.363,1,+551.944,1.0000,+32.7694,D.N.,+13.0369,+0.0645,0,F,435.632874,435.087824,435.804668,435.505402,435.806332,0.000000,1.205339,1.023493,5,10,10,0,15,20,315.84,0.00,547,3.18,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
568,283.764770,-30.365443,283.764742,-30.365416,146,904,146.088,904.098,1,+253.218,1.0000,+28.1992,D.N.,+13.8829,+0.1209,0,F,435.843353,435.089920,436.026325,435.583038,436.028859,0.000000,1.487851,1.043349,5,10,10,0,15,20,315.84,0.00,548,3.27,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
569,283.775716,-30.365160,283.775514,-30.365329,112,905,112.628,904.393,1,+241.902,1.0000,+29.9717,D.N.,+13.9325,+0.1345,0,F,435.693878,435.227479,435.898371,435.657715,435.900487,0.000000,1.359513,1.150876,5,10,10,0,15,20,315.84,0.00,555,0.31,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
570,283.654989,-30.364331,283.654870,-30.364284,487,908,487.368,908.167,1,+313.127,1.0000,+26.2699,D.N.,+13.6523,+0.0911,0,F,435.217163,434.813591,435.263789,435.498169,435.264682,0.000000,0.882486,0.873310,5,10,10,0,15,20,315.84,0.00,559,3.49,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
571,283.783764,-30.364323,283.783671,-30.364247,87,908,87.290,908.272,1,+144.972,1.0000,+24.9846,D.N.,+14.4884,+0.1871,0,F,435.647507,435.271020,435.715698,435.663513,435.716950,0.000000,1.045297,0.983718,5,10,10,0,15,20,315.84,0.00,556,2.82,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
572,283.762838,-30.364333,283.764724,-30.365416,152,908,146.144,904.097,1,+260.404,1.0000,+28.3263,D.N.,+13.8525,+0.1181,0,F,435.843353,435.089920,436.026325,435.558685,436.028859,0.000000,1.487851,1.043349,5,10,10,0,15,20,315.84,0.00,548,2.56,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
573,283.694587,-30.362953,283.694290,-30.362927,364,913,364.925,913.092,1,+345.574,1.0000,+30.9129,D.N.,+13.5452,+0.0971,0,F,435.649200,434.454448,435.648035,435.517792,435.649540,0.000000,1.146373,1.108754,5,10,10,0,15,20,315.84,0.00,553,3.71,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
574,283.679779,-30.362395,283.679828,-30.362533,410,915,409.847,914.503,1,+586.733,1.0000,+32.0071,D.N.,+12.9705,+0.0592,0,F,435.134048,434.731142,435.186108,435.509674,435.187168,0.000000,0.961157,0.940123,5,10,10,0,15,20,315.84,0.00,556,3.54,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
575,283.679779,-30.362395,283.679828,-30.362533,410,915,409.847,914.503,1,+586.733,1.0000,+32.0071,D.N.,+12.9705,+0.0592,0,F,435.134048,434.731142,435.186108,435.509674,435.187168,0.000000,0.961157,0.940123,5,10,10,0,15,20,315.84,0.00,556,3.54,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
576,283.777324,-30.361826,283.777181,-30.361797,107,917,107.445,917.106,1,+287.965,1.0000,+29.0245,D.N.,+13.7433,+0.1094,0,F,435.878830,435.771451,436.004253,435.651062,436.005800,0.000000,1.162623,1.056000,5,10,10,0,15,20,315.84,0.00,550,2.99,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
