ApertureRA	ApertureDec
283.796809	-30.555148
283.695522	-30.554064
283.776809	-30.554049
283.777775	-30.552382
283.726488	-30.554064
283.662298	-30.554056
283.685523	-30.553507
283.759067	-30.552668
283.743584	-30.553506
283.656492	-30.553498
283.731327	-30.552397
283.730036	-30.551008
283.729713	-30.549619
283.705844	-30.551009
283.743906	-30.550728
283.765517	-30.550165
283.712618	-30.549621
283.735841	-30.548507
283.733906	-30.547396
283.79519	-30.547927
283.680041	-30.548228
283.763258	-30.547944
283.708102	-30.547954
283.774224	-30.547661
283.716489	-30.547398
283.71036	-30.547121
283.703587	-30.547398
283.702942	-30.545731
283.790673	-30.546541
283.743904	-30.546005
283.743258	-30.543783
283.732938	-30.545452
283.719391	-30.544343
283.675204	-30.54406
283.797443	-30.543204
283.673269	-30.543782
283.682945	-30.543506
283.802604	-30.542922
283.789379	-30.542375
283.65295	-30.542941
283.684236	-30.542396
283.687138	-30.541841
283.678108	-30.541839
283.716166	-30.540732
283.713908	-30.540454
283.682301	-30.54184
283.755513	-30.539891
283.754222	-30.539058
283.727131	-30.53962
283.772606	-30.539329
283.779701	-30.539047
283.716811	-30.539065
283.656823	-30.538776
283.667143	-30.538224
283.789698	-30.537653
283.79002	-30.536542
283.738419	-30.537673
283.749706	-30.536004
283.658437	-30.535166
283.702298	-30.532954
283.760025	-30.532945
283.716165	-30.532954
283.653279	-30.532663
283.802593	-30.532089
283.692946	-30.530175
283.697461	-30.528509
283.755185	-30.528224
283.753572	-30.527392
283.706813	-30.526009
283.688432	-30.525452
283.760343	-30.525445
283.702944	-30.524898
283.73648	-30.523785
283.722292	-30.522954
283.753893	-30.523225
283.658767	-30.522388
283.689078	-30.521841
283.744218	-30.519894
283.732609	-30.517952
283.808384	-30.518196
283.806449	-30.51792
283.651031	-30.517107
283.652644	-30.515996
283.789358	-30.515431
283.775816	-30.515716
283.745506	-30.51545
283.692304	-30.514897
283.704234	-30.514343
283.685533	-30.514618
283.754212	-30.514336
283.731641	-30.513786
283.678762	-30.513228
283.657804	-30.513221
283.687468	-30.511841
283.691338	-30.511286
283.788387	-30.511265
283.801606	-30.510701
283.693917	-30.511008
283.668446	-30.511002
283.659418	-30.510999
283.731963	-30.510175
283.749374	-30.510448
283.75034	-30.509337
283.78774	-30.50821
283.713262	-30.507954
283.681344	-30.507673
283.804182	-30.507366
283.685858	-30.506007
283.700044	-30.504898
283.66329	-30.504334
283.657809	-30.504332
283.668127	-30.502669
283.701333	-30.503787
283.721322	-30.502954
283.71294	-30.502121
283.669418	-30.499336
283.720677	-30.498231
283.701334	-30.498231
283.657813	-30.496832
283.656847	-30.495165
283.793855	-30.495984
283.710683	-30.49601
283.693598	-30.490731
283.795462	-30.489316
283.79385	-30.489317
283.688764	-30.487674
283.771284	-30.48794
283.681672	-30.487395
283.717452	-30.486843
283.767093	-30.487109
283.76806	-30.485719
283.766125	-30.484609
283.661365	-30.486556
283.759357	-30.486279
283.761613	-30.485444
283.756455	-30.485724
283.756455	-30.484891
283.756132	-30.483502
283.789656	-30.484875
283.764513	-30.484888
283.76967	-30.484052
283.765478	-30.480998
283.768058	-30.482386
283.769346	-30.481552
283.767412	-30.48072
283.678128	-30.483783
283.763222	-30.481833
283.760965	-30.480167
283.716808	-30.483232
283.690699	-30.482675
283.681674	-30.482117
283.757743	-30.48239
283.705204	-30.48212
283.706171	-30.479898
283.658466	-30.48211
283.738403	-30.48184
283.700047	-30.481009
283.673294	-30.480171
283.759998	-30.4785
283.753874	-30.480447
283.752585	-30.479336
283.752584	-30.477947
283.676517	-30.479894
283.766766	-30.478498
283.758384	-30.475446
283.764188	-30.47961
283.772568	-30.479329
283.770956	-30.478774
283.726477	-30.47962
283.77418	-30.47905
283.757741	-30.478779
283.759351	-30.474056
283.769344	-30.47683
283.765476	-30.476832
283.770955	-30.476274
283.769987	-30.475441
283.667494	-30.477113
283.78417	-30.476267
283.685865	-30.476563
283.761286	-30.476278
283.761284	-30.4735
283.765796	-30.473498
283.768053	-30.475164
283.768375	-30.474053
283.675874	-30.475171
283.755161	-30.474336
283.72003	-30.473787
283.675231	-30.472949
283.663951	-30.470445
283.663308	-30.469056
283.725831	-30.469342
283.798665	-30.466814
283.710039	-30.466843
283.670077	-30.466559
283.704882	-30.466287
283.688447	-30.464341
283.663632	-30.463779
283.72583	-30.463509
283.714551	-30.462676
283.668145	-30.461002
283.738398	-30.461007
283.706172	-30.460732
283.742909	-30.459617
283.653967	-30.459052
283.70585	-30.457954
283.672336	-30.45767
283.799623	-30.456813
283.65558	-30.45572
283.69006	-30.455174
283.689416	-30.453508
283.654937	-30.453775
283.793175	-30.452928
283.659449	-30.452944
283.802841	-30.452366
283.730017	-30.451286
283.728084	-30.451286
283.660738	-30.451555
283.699406	-30.450731
283.753539	-30.450725
283.714872	-30.449898
283.742583	-30.449339
283.741616	-30.448784
283.775449	-30.449049
283.74935	-30.44906
283.668796	-30.447114
283.669119	-30.445447
283.695862	-30.446842
283.732916	-30.446286
283.68394	-30.445173
283.677819	-30.445172
283.775769	-30.445438
283.806378	-30.445142
283.680074	-30.445172
283.744515	-30.444616
283.769324	-30.44433
283.730338	-30.444064
283.719061	-30.444343
283.701662	-30.444065
283.671053	-30.443503
283.668475	-30.443225
283.710684	-30.442954
283.773512	-30.442661
283.687808	-30.442674
283.771579	-30.442662
283.722283	-30.442398
283.718416	-30.441843
283.756435	-30.44128
283.705206	-30.441287
283.667832	-30.441002
283.725182	-30.440453
283.706495	-30.440176
283.692641	-30.439619
283.690386	-30.439063
283.744191	-30.438783
283.796384	-30.437926
283.68652	-30.437952
283.654625	-30.436831
283.677822	-30.435727
283.780917	-30.43488
283.80669	-30.434586
283.652049	-30.434607
283.75321	-30.434058
283.707462	-30.433787
283.740645	-30.432673
283.727436	-30.432675
283.679756	-30.431839
283.686199	-30.431563
283.762229	-30.431277
283.781236	-30.430713
283.782524	-30.429879
283.710039	-30.429898
283.715194	-30.429343
283.760939	-30.427667
283.74612	-30.427672
283.745153	-30.426561
283.756428	-30.426835
283.739033	-30.427395
283.665261	-30.426835
283.71165	-30.426843
283.797985	-30.426536
283.775112	-30.42655
283.720026	-30.426009
283.722925	-30.424342
283.751274	-30.426003
283.717126	-30.426009
283.703274	-30.425731
283.779299	-30.424603
283.710039	-30.424343
283.674926	-30.424338
283.751917	-30.424059
283.738387	-30.423229
283.730978	-30.422952
283.753527	-30.422669
283.671706	-30.42267
283.78574	-30.421822
283.723247	-30.420731
283.770277	-30.420996
283.657855	-30.420721
283.727112	-30.421009
283.780262	-30.420158
283.778652	-30.420437
283.653668	-30.419886
283.684592	-30.419618
283.680404	-30.419617
283.679761	-30.41795
283.731943	-30.418786
283.725823	-30.418786
283.704886	-30.417398
283.783159	-30.417379
283.769952	-30.417108
283.701987	-30.41712
283.788635	-30.417098
283.728078	-30.415731
283.706496	-30.415454
283.676863	-30.415172
283.786378	-30.414044
283.76222	-30.413777
283.783478	-30.41349
283.764796	-30.412387
283.728077	-30.412675
283.718736	-30.411287
283.698766	-30.411287
283.738384	-30.410729
283.653996	-30.410441
283.692325	-30.41073
283.74869	-30.410171
283.799258	-30.409313
283.80119	-30.409034
283.676543	-30.408227
283.676543	-30.406838
283.684595	-30.408229
283.66205	-30.406834
283.776388	-30.40766
283.731941	-30.406563
283.72099	-30.406287
283.717125	-30.406565
283.726143	-30.404898
283.724533	-30.404064
283.763503	-30.40461
283.711328	-30.403509
283.776385	-30.40266
283.681698	-30.402395
283.719379	-30.40212
283.660121	-30.399333
283.657222	-30.400998
283.77735	-30.400715
283.774773	-30.400161
283.731617	-30.399897
283.651748	-30.399329
283.749008	-30.39906
283.655291	-30.398775
283.673648	-30.398782
283.768331	-30.398219
283.730329	-30.397953
283.711972	-30.397954
283.786686	-30.396543
283.668818	-30.397114
283.741922	-30.396284
283.793127	-30.395706
283.80182	-30.394312
283.675581	-30.395171
283.782498	-30.394046
283.78121	-30.393769
283.802139	-30.390978
283.793768	-30.392928
283.78765	-30.393209
283.772514	-30.392662
283.753836	-30.393225
283.767683	-30.391831
283.69104	-30.392119
283.785072	-30.391544
283.728073	-30.390453
283.711972	-30.390176
283.68299	-30.390173
