NGC 6475  Constantine et al. 

 No     X      Y      RA(1950)    Dec(1950)     muX      muY   Prob   V    U-B   B-V

0999 -11.84  -1.66 17 48 22.144 -35 02  2.830 -0.0028 -0.0007 0.172 11.59  0.05  0.37
1000 -10.84  -1.29 17 48 27.019 -35 02 16.494  0.0204  0.0114 0.000 10.03  0.10  0.52
1001 -10.49  -4.42 17 48 28.716 -35 05 24.290  0.0002  0.0014 0.110  9.26  0.20  0.31
1002  -9.82  -0.84 17 48 32.023 -35 01 49.815 -0.0004  0.0013 0.256 12.06  0.71  1.34
1003  -9.32  -2.79 17 48 34.432 -35 03 46.794 -0.0005 -0.0080 0.019 10.69  1.77  2.03
1004  -9.30  -3.26 17 48 34.522 -35 04 15.152 -0.0066  0.0018 0.132  8.17 -0.18  0.21
1005  -8.42  -4.65 17 48 38.857 -35 05 38.853  0.0045 -0.0034 0.049 12.43  0.18  1.01
1006  -8.02  -0.91 17 48 40.829 -35 01 54.302  0.0054  0.0038 0.029 12.74  0.05  0.61
1007  -6.24  -0.07 17 48 49.528 -35 01  3.745 -0.0005 -0.0120 0.001 11.26  0.82  1.46
1008  -5.71  -4.22 17 48 52.107 -35 05 12.706  0.0013  0.0044 0.115 10.18  1.98  2.25
1009  -5.46  -2.58 17 48 53.319 -35 03 34.473  0.0019 -0.0005 0.291 12.41  0.36  0.60
1010  -5.17  -2.83 17 48 54.720 -35 03 49.827  0.0018  0.0001 0.294 11.88  0.39  0.62
1011  -2.95  -2.70 17 49  5.589 -35 03 41.706 -0.0023 -0.0504 0.000 10.97  0.21  0.83
1012  -2.54  -4.49 17 49  7.563 -35 05 29.179  0.0028  0.0039 0.117 10.15  1.70  1.83
1013   1.80  -3.46 17 49 28.802 -35 04 27.327  0.0009  0.0011 0.423 10.70  1.44  1.76
1014   4.31  -3.91 17 49 41.065 -35 04 54.251 -0.0024  0.0012 0.532  9.73  0.17  0.40
1015   4.95  -1.43 17 49 44.206 -35 02 25.457  0.0026 -0.0011 0.419 11.07  1.84  2.25
1016   8.49  -0.76 17 50  1.452 -35 01 45.195  0.0038 -0.0022 0.330 12.02  0.19  0.93
1017   8.66  -3.71 17 50  2.344 -35 04 42.055 -0.0050 -0.0028 0.394 12.75  0.17  0.65
1018  10.86  -0.93 17 50 13.062 -35 01 54.826  0.0008  0.0001 0.566 11.59  0.01  0.66
