Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
936,268.488255,-34.755762,268.487271,-34.755649,175,816,177.911,816.410,1,+5903.26,1.0000,+228.321,D.N.,+11.5197,+0.0420,0,F,159.860092,158.291257,164.646893,155.118057,165.110890,0.000000,12.380987,9.619641,5,10,10,0,15,20,315.84,0.00,543,3.29,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
937,268.486565,-34.755485,268.487282,-34.755647,180,817,177.878,816.414,1,+5942.52,1.0000,+228.407,D.N.,+11.5125,+0.0417,0,F,159.860092,158.291257,164.646893,155.147720,165.110890,0.000000,12.380987,9.619641,5,10,10,0,15,20,315.84,0.00,543,3.10,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
938,268.404407,-34.755766,268.404406,-34.755768,423,816,423.004,815.994,1,+3650.54,1.0000,+123.224,D.N.,+12.0415,+0.0366,0,F,156.569923,156.630603,158.449162,153.695969,158.593914,0.000000,6.780588,4.813073,5,10,10,0,15,20,315.84,0.00,548,2.99,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
939,268.432807,-34.755771,268.430647,-34.756418,339,816,345.389,813.672,1,+18763.2,1.0000,+182.594,D.N.,+10.2641,+0.0106,0,F,156.095917,154.876383,158.584567,154.418488,158.753090,0.000000,7.319659,5.400121,5,10,10,0,15,20,315.84,0.00,542,3.41,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
940,268.453769,-34.754937,268.453522,-34.755061,277,819,277.731,818.555,1,+4103.11,1.0000,+168.505,D.N.,+11.9146,+0.0446,0,F,156.961716,155.382777,160.802022,154.513245,161.140613,0.000000,10.450192,6.982596,5,10,10,0,15,20,315.84,0.00,547,3.27,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
941,268.387842,-34.753816,268.387757,-34.753903,472,823,472.250,822.687,1,+86183.8,1.0000,+333.825,D.N.,+8.6088,+0.0042,0,F,158.077339,155.610123,169.495231,154.448410,176.982807,0.000000,50.980280,7.131672,5,10,10,0,15,20,315.84,0.00,552,3.16,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
942,268.534573,-34.754346,268.535163,-34.753545,38,821,36.254,823.884,1,+4517.53,1.0000,+123.658,D.N.,+11.8101,+0.0297,0,F,155.160553,154.989666,158.267114,154.144501,158.965458,0.000000,14.897616,4.659518,5,10,10,0,15,20,315.84,0.00,553,3.79,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
943,268.535586,-34.753234,268.535162,-34.753549,35,825,36.257,823.869,1,+4511.32,1.0000,+123.632,D.N.,+11.8116,+0.0298,0,F,155.160553,154.989666,158.267114,154.162949,158.965458,0.000000,14.897616,4.659518,5,10,10,0,15,20,315.84,0.00,553,3.27,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
944,268.426046,-34.754382,268.424726,-34.753747,359,821,362.902,823.285,1,+2266.59,1.0000,+129.874,D.N.,+12.5590,+0.0622,0,F,153.839348,152.023659,159.203682,153.988419,160.407843,0.000000,19.635805,5.418953,5,10,10,0,15,20,315.84,0.00,550,16.86,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
945,268.424693,-34.753548,268.424723,-34.753747,363,824,362.913,823.285,1,+2287.10,1.0000,+129.953,D.N.,+12.5492,+0.0617,0,F,153.839348,152.023659,159.203682,153.923492,160.407843,0.000000,19.635805,5.418953,5,10,10,0,15,20,315.84,0.00,550,17.33,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
